specObjID,class_label,u,g,r,i,z,w1,w2,w3,w4,u_g,g_r,color
14124679463464884224,QSO,19.75194,19.09415,19.02113,18.95458,18.70845,14.917,13.94,11.048,8.572,0.6577900000000021,0.07301999999999964,green
525808482528552960,STAR,23.7126,21.84354,22.70568,19.60617,19.14087,12.432,12.484,12.018,9.007,1.8690599999999975,-0.8621400000000001,blue
4317879837383743488,GALAXY,23.89131,22.52764,20.5177,19.50857,19.24716,15.419,15.342,12.3,9.137,1.363669999999999,2.0099400000000003,red
3731257938304671744,STAR,19.04867,18.08925,17.7731,17.65997,17.59814,16.809,16.941,13.02,9.484,0.9594200000000015,0.3161500000000004,blue
14124646478116050944,QSO,22.3713,21.83002,21.63573,20.8202,20.66148,16.422,15.344,12.092,9.096,0.5412800000000004,0.1942900000000023,green
340081448692246528,QSO,19.32085,19.05002,18.834,18.5837,18.65842,15.948,14.628,11.611,8.783,0.2708300000000001,0.21602000000000032,green
1404136042088392704,STAR,21.56131,19.00726,17.35407,16.21972,15.57144,12.998,12.968,12.593,8.674,2.55405,1.6531899999999986,blue
326638548897785856,GALAXY,19.85541,18.20491,17.35558,16.90693,16.60092,14.239,14.177,12.165,8.57,1.6504999999999974,0.8493300000000019,red
340030596279461888,QSO,18.81936,18.58601,18.53809,18.38214,18.45571,15.334,13.697,10.643,8.385,0.23334999999999795,0.047920000000001295,green
346872856702904320,QSO,19.29089,19.00574,18.90908,18.78759,18.7279,14.7,13.565,10.896,8.624,0.28515000000000157,0.09665999999999997,green
4528448405073319936,GALAXY,23.15054,23.05249,21.43172,20.28433,19.57629,15.72,15.345,12.708,8.821,0.09805000000000064,1.6207700000000003,red
4254991889605089280,QSO,18.91228,18.82523,18.88453,18.51122,18.60367,15.501,14.209,11.058,8.361,0.08704999999999785,-0.05930000000000035,green
364824308238804992,QSO,18.66987,18.47186,18.46119,18.30227,18.34633,15.244,13.821,10.601,8.395,0.19801000000000002,0.010670000000001068,green
388513836417705984,GALAXY,19.30206,17.12601,16.01106,15.51805,15.05948,12.663,12.62,12.036,9.047,2.17605,1.1149500000000003,red
1405240531717482496,STAR,24.39354,22.62768,21.08359,19.3641,18.40887,15.893,16.086,12.07,8.574,1.76586,1.5440900000000006,blue
4549949629983381504,QSO,22.19954,21.21488,21.04266,20.9459,20.42477,17.492,16.77,12.52,9.037,0.9846599999999981,0.17221999999999937,green
4519422518784972800,GALAXY,24.91451,23.00585,20.81218,19.72415,19.11188,15.666,15.581,12.844,9.433,1.9086600000000011,2.1936699999999973,red
